School,Anatomy and Physiology,Astronomy,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Experimental Design,Forensics,Fossils,Geologic Mapping,Machines,Ornithology,Protein Modeling,Sounds of Music,Water Quality,Write It Do It
West Windsor-Plainsboro High School South NJ,17,1,39,6,26,6,23,2,16,4,8,1,1,17,13,1,3,17
Camas High School WA,36,24,23,17,30,47,55,23,2,48,24,29,16,3,30,16,36,16
Centennial High School MD,30,32,15,33,11,35,48,12,25,17,15,24,19,15,27,26,31,44
White Station High School TN,48,47,43,30,36,38,20,24,53,51,58,38,29,47,45,33,28,49
Ladue Horton Watkins High School MO,19,19,11,38,25,23,13,1,11,26,30,17,36,12,23,30,10,27
Acton-Boxborough Regional High School MA,4,11,9,12,24,12,5,15,8,14,11,7,11,26,18,6,4,1
Carmel High School IN,9,14,7,22,27,13,12,6,14,3,20,14,18,14,6,15,2,19
Charter School of Wilmington DE,47,43,18,40,43,32,40,27,44,32,52,37,24,51,26,31,22,2
Eden Prairie High School MN,40,34,42,35,38,39,46,42,38,27,33,35,32,50,49,44,39,45
Legacy High School ND,46,41,49,42,47,51,41,51,51,44,45,42,40,38,51,47,58,47
Farmington High School CT,43,45,41,47,46,33,58,35,35,42,35,52,44,43,38,58,49,38
Blue Valley West High School KS,32,40,10,18,16,46,53,32,31,34,51,26,21,37,44,17,25,29
Homeschool Science Colorado CO,29,25,20,28,31,19,45,45,28,15,40,25,35,22,19,37,44,40
duPont Manual High School KY,1,28,31,36,35,3,11,19,30,29,17,33,50,33,8,38,33,41
Lincoln Southwest High School NE,55,13,38,19,41,48,37,13,26,54,23,51,26,45,57,23,56,50
Catalina Foothills High School AZ,49,49,28,32,37,43,31,50,48,36,37,32,39,34,54,18,32,15
Ames High School IA,54,50,45,56,44,54,44,37,45,46,42,43,46,44,39,51,53,30
Hamilton High School MT,45,58,54,60,49,58,38,53,57,58,46,55,60,54,47,49,54,36
West High School UT,26,35,34,45,34,34,36,55,42,49,38,41,49,28,40,56,48,13
La Cueva High School NM,52,51,27,41,40,55,34,43,37,52,56,47,41,40,55,40,46,52
Clinton High School SC,50,55,50,48,52,49,33,34,34,38,32,36,37,55,46,52,37,10
Westview High School OR,31,44,57,52,50,40,43,56,59,37,57,46,56,58,52,55,45,37
Barrington High School RI,39,48,30,34,32,45,49,44,41,31,39,56,43,42,42,39,35,9
Norman North High School OK,51,56,44,54,53,36,50,47,33,56,49,57,51,27,37,46,51,11
Waterville Senior High School ME,60,60,60,57,58,41,57,58,50,60,43,59,60,46,56,54,60,34
Ed W. Clark High School NV,7,26,48,31,8,11,39,30,4,23,26,16,28,2,28,35,23,14
Phillips Exeter Academy NH,35,21,58,44,45,27,26,40,39,47,53,40,33,56,32,29,59,39
Baton Rouge Magnet High School LA,53,36,12,10,59,16,25,36,56,43,44,49,45,48,36,42,30,60
Northwest Rankin High School MS,41,37,51,50,48,56,56,39,49,45,41,39,38,53,41,41,55,25
Little Rock Central High School AR,37,46,35,51,51,53,35,52,58,53,50,48,47,52,53,50,34,43
Saint Johnsbury Academy VT,38,53,47,46,56,60,54,57,52,30,47,58,60,59,60,60,41,60
Thunder Basin High School WY,59,52,55,53,55,52,52,48,55,57,55,45,53,57,48,53,52,51
Treasure Valley Homeschool ID,44,59,60,60,60,50,30,60,60,40,60,15,52,41,33,32,47,60
Cabell Midland High School WV,56,57,52,55,57,59,51,54,29,55,54,54,54,49,58,48,57,53
Brookings High School SD,58,38,40,37,42,37,59,46,43,50,36,53,48,39,50,34,38,60
Auburn High School AL,33,33,53,29,21,28,24,49,40,39,18,44,34,23,25,45,19,54
"BASIS Independent Washington, D.C. DC",42,54,46,43,39,44,32,38,46,33,59,50,42,36,35,57,40,35
Mat-Su Career and Technical High School AK,57,39,56,60,54,57,60,60,54,60,48,60,60,60,60,60,50,60
Iolani School HI,18,3,4,7,18,14,22,25,13,19,19,19,23,29,10,27,12,33
