School,Anatomy and Physiology,Astronomy,Botany,Chemistry Lab,Circuit Lab,Codebusters,Data Science,Designer Genes,Detector Building,Disease Detectives,Dynamic Planet,Forensics,Fossils,Geologic Mapping,Machines,Ornithology,Protein Modeling,Solar Power,Sounds of Music,Water Quality,Total
Bethlehem Central High School NY,50,63,21,6,30,98,38,49,70,48,57,76,38,38,93,69,24,48,50,66,1032
Columbia High School NY,66,32,117,72,16,101,59,45,59,61,34,43,68,1,17,51,35,33,42,94,1046
Novi High School MI,56,58,67,5,41,79,45,16,71,47,74,69,80,40,20,91,49,25,47,69,1049
Jordan High School TX,58,52,117,50,59,51,78,19,31,33,54,24,46,36,65,49,56,117,32,44,1071
Langham Creek High School TX,36,66,29,46,79,50,61,46,44,56,75,63,79,61,55,79,34,45,63,60,1127
Texas Academy of Math and Science TX,28,67,8,90,71,46,44,25,78,35,52,67,64,48,41,60,78,117,58,58,1135
Cinco Ranch High School TX,44,22,66,74,73,42,65,40,53,70,48,61,81,79,81,73,48,5,37,79,1141
Summer Creek High School TX,86,76,24,16,55,73,10,50,27,62,100,79,101,90,72,82,62,63,44,41,1213
Hendrickson High School TX,70,87,64,76,27,70,86,74,66,82,40,36,76,67,48,77,47,40,53,51,1237
Tomball Memorial High School TX,74,79,41,43,42,61,52,79,68,89,77,66,66,81,77,72,58,16,40,76,1257
duPont Manual High School KY,72,54,9,73,104,59,69,58,40,78,83,71,59,34,66,95,74,47,52,72,1269
Fulton Science Academy GA,24,65,117,65,53,58,117,24,117,76,70,45,17,59,34,57,89,117,33,45,1282
River City Science Academy FL,101,64,117,70,21,75,117,81,63,74,26,27,61,19,57,55,57,117,51,82,1335
Fox Homeschoolers IL,55,48,117,45,35,94,117,37,117,63,67,104,56,27,43,61,84,117,49,88,1424
Cypress Falls High School TX,96,72,20,35,93,32,62,101,75,64,59,65,63,70,97,101,64,117,66,84,1436
Fountain Valley High School CA,18,94,117,13,67,92,35,75,117,20,104,44,117,117,83,87,59,52,54,74,1439
Pacifica Christian High School CA,93,96,13,52,96,83,58,102,87,66,65,51,86,83,84,65,83,44,77,65,1449
NYOS Charter School TX,98,53,117,20,70,74,60,66,117,55,84,23,58,80,44,92,60,117,90,117,1495
Bridgeland High School TX,83,29,44,47,85,93,64,100,86,92,89,41,83,97,79,86,80,67,84,70,1499
Spring Early College Academy TX,62,61,117,67,61,72,76,89,60,84,73,70,95,74,94,53,86,117,68,87,1566
John B. Connally High School TX,81,92,69,51,65,84,37,83,90,81,88,100,88,92,74,99,70,58,78,104,1584
Harmony Science Academy - El Paso TX,65,104,36,97,69,77,72,76,79,103,82,89,91,87,88,66,61,55,95,102,1594
Francis Lewis High School NY,92,98,117,104,62,91,63,80,58,100,94,86,69,65,39,45,45,117,105,78,1608
Prestonwood Christian Academy TX,95,86,72,39,82,101,66,87,69,104,81,94,60,85,75,83,91,70,89,81,1610
Bellville High School TX,99,91,65,36,88,96,68,88,89,101,97,95,31,102,99,81,99,64,87,97,1673
Cypress Springs High School TX,91,90,70,103,99,47,70,106,85,94,78,108,84,95,89,94,96,62,99,95,1755
International Leadership of Texas - Garland High School TX,35,85,12,83,100,87,117,99,81,98,96,103,117,93,104,104,46,117,81,99,1757
North Austin Science Alliance TX,117,117,117,117,117,55,117,64,117,117,47,37,67,77,117,14,117,117,60,71,1779
Anderson High School TX,103,78,117,98,101,89,117,91,72,88,63,106,82,73,95,71,69,117,72,85,1787
Sacred Heart Greenwich High School CT,105,83,77,94,98,100,117,73,88,73,99,102,74,100,102,96,88,73,73,92,1807
St. Andrew's Episcopal School TX,85,97,55,61,117,101,56,93,117,117,79,101,117,63,92,84,117,117,117,67,1853
Central Texas Science Team TX,117,93,60,88,48,97,117,34,117,96,117,90,117,117,117,90,93,117,69,73,1867
Bardstown High School KY,117,88,117,117,117,81,117,117,117,95,117,117,117,117,117,78,117,117,82,105,2167
Baton Rouge High School LA,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,2340
Dublin High School CA,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,2340
Lamar Academy TX,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,2340
Staten Island Technical High School NY,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,2340
